IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY,WEIGHTED_AVERAGE_SCORE
BB,Western Mining,3.8,3.5,3.9,Metals and Mining - Non-Precious Metals,3.7
B,Shanxi Coal International,4.0,1.4,2.7,Metals and Mining - Non-Precious Metals,2.8
BB,Riken Keiki,2.4,3.9,4.9,"Electronic Equipment, Instruments & Components",4.1
BB,VT HOLDINGS,1.8,5.1,6.2,Retail - Consumer Discretionary,4.8
BBB,Heiwado,1.7,4.1,6.1,Retail - Food & Staples,4.8
CCC,Shenergy,3.7,1.3,2.6,Utilities,2.8
CCC,Intops,2.0,1.8,2.6,"Technology Hardware, Storage & Peripherals",2.1
BBB,Izumi,3.0,4.6,5.5,Retail - Consumer Discretionary,4.8
A,JAC Recruitment (JAC),7.7,4.5,7.2,Professional Services,6.0
AA,BIPROGY,6.4,6.4,5.4,Software & Services,6.0
BB,DJK Group,3.9,5.2,6.6,Trading Companies & Distributors,5.2
BB,AEON DELIGHT,5.5,3.5,5.7,Commercial Services & Supplies,4.5
B,ACC,2.6,3.7,2.3,Construction Materials,2.9
BB,Royal Holdings,2.3,4.8,5.1,Restaurants,4.3
B,Megaworld,4.5,1.7,5.1,Real Estate Development & Diversified Activities,3.7
AA,Nomura,8.3,4.3,5.3,Investment Banking & Brokerage,5.2
BB,Nippon Parking,3.7,4.5,6.1,Commercial Services & Supplies,5.1
A,PTT,6.3,4.6,8.1,Integrated Oil & Gas,6.2
B,Quality Houses,3.2,3.0,4.0,Real Estate Development & Diversified Activities,3.4
BB,Supalai,3.8,4.4,4.3,Real Estate Development & Diversified Activities,4.2
CCC,Sam Chun Dang Pharm,1.7,1.2,2.8,Pharmaceuticals,2.2
BB,Tingyi ,4.4,2.9,4.6,Beverages,4.0
BB,Shree Cement,2.9,4.7,2.4,Construction Materials,3.4
A,TCS,6.2,3.9,5.3,Software & Services,4.9
B,Zee,8.7,2.9,3.8,Media & Entertainment,3.6
BB,VIS,4.1,4.1,6.5,Semiconductors & Semiconductor Equipment,4.8
BBB,SBS Group,7.7,4.6,4.1,Air Freight & Logistics,4.9
A,Malaysia Building Society,3.8,6.1,4.6,Banks,5.0
B,WCG,3.5,3.4,1.5,Specialty Chemicals,3.2
B,Zenrin,3.7,3.9,2.4,Software & Services,3.2
BBB,Tohoku Electric,5.5,5.0,3.1,Utilities,5.0
BB,Systena,4.3,4.4,3.4,Software & Services,3.9
BB,Takaful Malaysia,3.5,5.8,5.0,Multi-Line Insurance & Brokerage,5.1
BB,Security Bank,0.3,3.6,4.6,Banks,3.7
BBB,Ping An Bank,7.7,4.4,3.7,Banks,4.4
B,Walsin Lihwa,5.3,2.6,8.1,Electrical Equipment,4.8
BBB,MCB Bank,0.8,6.6,3.3,Banks,4.0
AA,Livzon,7.4,5.7,4.7,Pharmaceuticals,5.3
BB,Guoyuan Securities,2.6,5.4,5.5,Investment Banking & Brokerage,5.1
BB,Douzon Bizon,4.8,2.7,4.9,Software & Services,4.1
BB,S1,7.7,2.4,6.6,Commercial Services & Supplies,5.0
A,PCCW,10.0,5.5,6.0,Telecommunication Services,6.0
AA,BCA,4.4,4.8,6.1,Banks,5.5
BBB,Bangkok Bank,1.2,3.6,4.3,Banks,3.7
A,Hang Lung Group,7.3,4.0,6.5,Real Estate Management & Services,5.8
BBB,Henderson Land,5.7,3.6,4.6,Real Estate Development & Diversified Activities,4.5
B,Relia,9.3,4.9,2.8,Software & Services,4.0
